-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 07/30/2025 in LST
Location: latitude  26.2577   longitude 50.07 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PS,T2M,WS10M,CLRSKY_SFC_SW_DWN
2025,4,6,5.4353,100.94,26.79,3.47,6.5909
2025,4,7,4.5662,101.21,26.08,6.57,6.1656
2025,4,8,6.1637,101.24,27.32,6.14,6.2938
2025,4,9,6.6499,100.91,28.51,5.61,6.7306
2025,4,10,6.5916,100.34,31.46,3.6,6.9019
2025,4,11,5.905,100.2,27.51,6.5,6.1711
2025,4,12,6.3144,100.3,27.29,4.91,6.5306
2025,4,13,5.4456,100.83,25.55,7.51,5.773
2025,4,14,6.0194,100.69,29.03,3.49,6.5582
2025,4,15,4.4726,101.13,25.67,9.11,4.9721
2025,4,16,5.6064,101.34,23.68,8.97,5.682
2025,4,17,5.2622,101.27,23.15,7.41,5.4115
2025,4,18,5.5154,101.1,23.45,5.32,5.6974
2025,4,19,6.3994,101.02,24.5,4.49,6.5364
2025,4,20,5.478,100.97,25.97,3.59,6.7363
2025,4,21,5.921,100.99,27.8,2.41,6.7332
2025,4,22,5.3016,100.97,29.76,5.85,6.493
2025,4,23,6.7186,100.9,28.57,4.88,6.859
2025,4,24,7.1196,100.68,29.8,5.25,7.3123
2025,4,25,6.54,100.54,31.48,2.92,7.183
2025,4,26,6.0146,100.42,31.15,3.44,7.0865
2025,4,27,6.7056,100.39,31.7,3.63,7.0613
2025,4,28,6.876,100.34,32.99,3.92,7.1112
2025,4,29,6.822,100.3,32.31,3.35,7.2739
2025,4,30,6.1154,100.54,29.05,4.4,-999.0
2025,5,1,6.348,100.63,31.11,3.93,-999.0
2025,5,2,6.4886,100.58,33.5,1.75,-999.0
2025,5,3,6.4742,100.42,33.09,2.23,-999.0
2025,5,4,5.4538,100.17,35.29,2.08,-999.0
2025,5,5,6.4757,100.34,32.57,4.34,-999.0
2025,5,6,5.7802,100.83,29.62,9.18,-999.0
2025,5,7,6.9391,100.86,28.57,8.72,-999.0
2025,5,8,6.9554,100.59,29.27,7.93,7.0615
2025,5,9,7.0142,100.64,29.89,6.27,7.0901
2025,5,10,6.9295,100.62,30.45,4.76,7.0548
2025,5,11,6.8964,100.5,31.33,2.84,-999.0
2025,5,12,6.713,100.28,31.84,3.4,-999.0
2025,5,13,6.767,100.18,32.81,5.13,6.9115
2025,5,14,6.78,100.33,32.02,3.67,6.8933
2025,5,15,6.7368,100.58,32.75,2.88,6.9449
2025,5,16,6.6259,100.68,31.52,6.72,6.9545
2025,5,17,6.9228,100.64,30.87,7.82,-999.0
2025,5,18,7.1554,100.38,31.43,5.02,7.2322
2025,5,19,6.9036,100.26,33.21,2.77,7.0807
2025,5,20,6.9106,100.15,34.46,3.83,7.0495
2025,5,21,6.9629,100.12,35.23,5.71,-999.0
2025,5,22,6.9305,99.95,34.52,5.79,7.1124
2025,5,23,6.954,99.72,33.64,4.37,-999.0
2025,5,24,7.0195,99.63,34.89,2.19,7.139
2025,5,25,7.0202,99.89,33.99,5.62,7.1254
2025,5,26,6.8194,100.16,34.03,4.69,7.0608
2025,5,27,6.9636,100.06,34.19,4.66,7.225
2025,5,28,6.8263,99.95,35.6,3.14,-999.0
2025,5,29,7.08,99.88,35.75,2.97,7.183
2025,5,30,6.9792,100.06,33.26,7.43,7.1258
2025,5,31,7.0795,100.31,32.58,8.19,7.2283
2025,6,1,7.169,100.31,33.22,7.36,7.3418
2025,6,2,7.1388,100.18,34.51,7.67,-999.0
2025,6,3,7.2588,100.13,33.16,9.36,7.3332
2025,6,4,7.1546,100.18,32.27,9.03,7.2682
2025,6,5,7.0512,100.32,32.08,6.19,7.1582
2025,6,6,7.0548,100.43,32.41,4.34,7.1647
2025,6,7,6.8621,100.38,32.89,2.91,-999.0
2025,6,8,7.0238,100.37,33.06,2.56,7.176
2025,6,9,7.0428,100.32,33.15,3.39,7.1765
2025,6,10,6.9492,100.01,34.17,4.85,7.0697
2025,6,11,6.965,99.93,35.75,4.65,7.0913
2025,6,12,6.966,100.05,35.9,3.37,7.1717
2025,6,13,6.8431,100.04,35.96,2.84,-999.0
2025,6,14,7.0754,99.84,36.54,3.61,7.2079
2025,6,15,7.0728,99.64,36.2,5.64,7.1878
2025,6,16,6.9108,99.51,35.8,5.14,7.1772
2025,6,17,7.1086,99.7,35.17,7.44,7.2427
2025,6,18,7.0781,99.87,34.79,9.25,7.3301
2025,6,19,7.2281,99.87,34.2,9.43,7.3642
2025,6,20,7.254,99.81,34.38,7.79,7.3649
2025,6,21,7.1434,99.86,33.76,6.42,7.2852
2025,6,22,7.1386,99.82,33.97,5.43,7.2216
2025,6,23,6.9444,99.69,34.5,6.15,-999.0
2025,6,24,7.0949,99.57,36.09,8.88,7.2314
2025,6,25,7.1635,99.61,36.01,7.92,7.2667
2025,6,26,6.9686,99.6,36.04,7.07,-999.0
2025,6,27,6.7937,99.51,35.7,5.53,-999.0
2025,6,28,6.5549,99.39,36.26,5.16,-999.0
2025,6,29,6.6811,99.25,37.85,4.04,-999.0
2025,6,30,6.9094,99.19,38.76,4.15,-999.0
2025,7,1,6.5976,99.34,37.22,6.57,6.7181
2025,7,2,6.5074,99.65,36.37,7.64,6.7008
2025,7,3,6.672,99.61,36.34,7.43,6.7754
2025,7,4,6.4558,99.66,36.44,7.24,-999.0
2025,7,5,6.5633,99.71,36.02,8.16,-999.0
2025,7,6,6.5491,99.61,34.98,7.49,-999.0
2025,7,7,6.5707,99.48,35.16,6.18,6.6689
2025,7,8,6.4836,99.47,35.29,4.84,-999.0
2025,7,9,6.4358,99.52,35.56,4.37,-999.0
2025,7,10,6.331,99.52,36.17,4.38,-999.0
2025,7,11,6.4471,99.62,36.35,3.12,-999.0
2025,7,12,6.209,99.75,37.24,2.52,-999.0
2025,7,13,6.3293,99.79,37.23,2.29,-999.0
2025,7,14,-999.0,99.59,38.16,2.06,-999.0
2025,7,15,5.9047,99.47,38.34,2.65,-999.0
2025,7,16,6.6132,99.52,39.21,3.35,6.7298
2025,7,17,6.3859,99.54,38.41,4.06,6.5278
2025,7,18,6.2407,99.71,37.39,6.57,6.5014
2025,7,19,6.4992,99.58,38.34,6.65,-999.0
2025,7,20,6.0689,99.34,38.07,7.62,-999.0
2025,7,21,6.3288,99.39,37.54,7.45,-999.0
2025,7,22,6.4994,99.54,37.24,6.6,6.5854
2025,7,23,6.4231,99.36,38.52,6.52,6.539
2025,7,24,-999.0,99.06,38.18,5.93,-999.0
2025,7,25,-999.0,99.15,36.99,3.58,-999.0
2025,7,26,-999.0,-999.0,-999.0,-999.0,-999.0
2025,7,27,-999.0,-999.0,-999.0,-999.0,-999.0
2025,7,28,-999.0,-999.0,-999.0,-999.0,-999.0
2025,7,29,-999.0,-999.0,-999.0,-999.0,-999.0
2025,7,30,-999.0,-999.0,-999.0,-999.0,-999.0
